feature,n_pares,mouse_media,trackpad_media,diferenca_media_trackpad_menos_mouse,diferenca_mediana_trackpad_menos_mouse,t_pareado_stat,t_pareado_p,diferenca_shapiro_p,diferenca_normal,teste_recomendado,p_valor_recomendado,wilcoxon_stat,wilcoxon_p,cohen_dz,hipotese_rejeitada_ajustada,observacao,t_pareado_p_ajustado,wilcoxon_p_ajustado,p_valor_recomendado_ajustado
acceleration,6,5465.353432474174,4596.553493645474,-868.7999388286988,-918.7533073305049,-0.43843427950360625,0.6793672897777642,0.895343520597927,True,t_pareado,0.6793672897777642,8.0,0.6875,-0.17899004508810273,False,,0.8983162698875512,0.84375,0.8983162698875512
angle_deg,6,143.85498338682953,115.8691250223715,-27.985858364458057,-18.800862565959072,-1.1356199276071683,0.30760098986339696,0.1419388218003514,True,t_pareado,0.30760098986339696,6.0,0.4375,-0.4636148940623223,False,,0.7796808117888648,0.84375,0.8459027221243416
angle_rad,6,0.45291934151483154,0.41779569226261765,-0.035123649252213916,0.01093217881233896,-0.26082626519216046,0.8046282319060494,0.2607132846050667,True,t_pareado,0.8046282319060494,9.0,0.84375,-0.10648187687277369,False,,0.8983162698875512,0.84375,0.8983162698875512
cum_distance,6,68611.03391164057,22580.410403657308,-46030.62350798325,-3217.6690144720087,-0.9724324985271883,0.3754969556437012,0.00012675008749450577,False,wilcoxon_pareado,0.5625,7.0,0.5625,-0.3969939051152276,False,,0.7796808117888648,0.84375,0.8839285714285714
distance,6,11.563288630707026,6.538899094454017,-5.024389536253008,-2.171065649086025,-1.3567259431350545,0.23290680004164013,0.11674212930026556,True,t_pareado,0.23290680004164013,4.0,0.21875,-0.5538810469128582,False,,0.7796808117888648,0.8020833333333334,0.8459027221243416
dt,6,0.0923717714413194,0.09226482182503613,-0.00010694961628326949,-0.015641075305094787,-0.0024235628671916204,0.9981600008063217,0.7515741618611711,True,t_pareado,0.9981600008063217,9.0,0.84375,-0.0009894153973626773,False,,0.9981600008063217,0.84375,0.9981600008063217
dx,6,0.012960564647696878,-0.19540947627355498,-0.20837004092125186,-0.23983239668329817,-1.755864797904685,0.13946442199482925,0.2747991154836742,True,t_pareado,0.13946442199482925,4.0,0.21875,-0.716828802030264,False,,0.7796808117888648,0.8020833333333334,0.8459027221243416
dy,6,0.0796422596733579,-0.12085236431104629,-0.2004946239844042,-0.13509233163640996,-0.8676102145866369,0.42528044279392624,0.8503185157171913,True,t_pareado,0.42528044279392624,7.0,0.5625,-0.35420038689397987,False,,0.7796808117888648,0.84375,0.8839285714285714
speed,6,671.519700186802,432.78702626048636,-238.73267392631564,-189.5612823440277,-1.4542050346539737,0.20563727938886284,0.5219393516134107,True,t_pareado,0.20563727938886284,4.0,0.21875,-0.5936767193814273,False,,0.7796808117888648,0.8020833333333334,0.8459027221243416
x,6,397.3981764123787,437.45861875386976,40.06044234149102,56.40494281931662,0.6429667975261146,0.5485667179458603,0.5131354813785016,True,t_pareado,0.5485667179458603,7.0,0.5625,0.2624900959150611,False,,0.8620334139149233,0.84375,0.8839285714285714
y,6,486.72917392032514,492.0985694152998,5.369395494974602,4.03334148766794,0.244375999377056,0.8166511544432283,0.7282760450975425,True,t_pareado,0.8166511544432283,9.0,0.84375,0.09976608397608118,False,,0.8983162698875512,0.84375,0.8983162698875512
