feature,mouse_cv_pct,trackpad_cv_pct,diferenca_trackpad_menos_mouse_pct,menor_variabilidade
acceleration,290.43604411442317,110.02012993017918,-180.415914184244,trackpad
angle_deg,23.243139673852575,35.07735394687301,11.834214273020436,mouse
angle_rad,95.70503626471472,75.15584533976386,-20.549190924950864,trackpad
cum_distance,279.8237397148366,308.6709749819394,28.847235267102803,mouse
delta_x,,360.15017620589987,,indisponivel
delta_y,2070.9836582728653,578.9875887470081,-1491.9960695258574,trackpad
distance,106.00632667599635,109.99658817825562,3.9902615022592727,mouse
dt,107.28099302997374,126.15980097322219,18.878807943248447,mouse
dx,620.9054825185818,6186.34332034499,5565.437837826408,mouse
dy,1934.3710623987004,2831.412010397713,897.0409479990126,mouse
speed,96.88394233413916,63.37323449091278,-33.510707843226385,trackpad
speed_prev,86.16354238827334,63.28464830457639,-22.87889408369695,trackpad
x,52.35407477484443,54.571527404417196,2.217452629572769,mouse
y,24.785217371570145,18.6758279451323,-6.109389426437843,trackpad
