feature,n_pares,mouse_media,trackpad_media,diferenca_media_trackpad_menos_mouse,diferenca_mediana_trackpad_menos_mouse,t_pareado_stat,t_pareado_p,wilcoxon_stat,wilcoxon_p,cohen_dz,hipotese_rejeitada_ajustada,observacao,t_pareado_p_ajustado,wilcoxon_p_ajustado
_t,8,1786747982.5913925,1786747947.8532057,-34.738186687231064,-8.080867886543274,-0.4372987924962222,0.6750684264428675,17.0,0.9453125,-0.1546084707893838,False,,0.8832028909792023,0.9453125
_x,8,391.77721851845513,409.47081833034633,17.693599811891144,40.06162094009869,0.3562488640983906,0.7321497372208938,15.0,0.7421875,0.1259529937969884,False,,0.8832028909792023,0.9453125
_y,8,474.4541402167969,491.0453216243235,16.59118140752655,16.818832070250863,0.8582029227882322,0.4191927295069524,13.0,0.546875,0.303420553168837,False,,0.8832028909792023,0.9453125
acceleration,8,7110.615772382436,3800.8133925051034,-3309.8023798773324,-906.5628139775017,-1.0521705385594415,0.3276808072040756,13.0,0.546875,-0.37199846139004145,False,,0.8832028909792023,0.9453125
angle_deg,8,126.00915956734514,111.69925980513798,-14.309899762207145,-22.86209926811477,-0.42220860235587804,0.685538092585368,14.0,0.640625,-0.14927328290056793,False,,0.8832028909792023,0.9453125
angle_rad,8,0.3511586307543933,0.33448595020243466,-0.016672680551958613,-0.0023975224043441823,-0.12360234142078388,0.9051043569702713,17.0,0.9453125,-0.04370002689458559,False,,0.9553879323575085,0.9453125
cum_distance,8,52176.63446855761,39857.84473593091,-12318.789732626714,-2765.9529355592995,-0.2763858961852616,0.7902341656129706,16.0,0.84375,-0.09771717070845981,False,,0.8832028909792023,0.9453125
delta_x,8,0.0,0.0,0.0,0.0,,,,,,False,Todas as diferencas pareadas sao zero.,,
delta_y,8,13.619178372060174,63.85722974060114,50.238051368540965,0.5427700780470227,0.7612767394713864,0.47135470501381915,12.0,0.4609375,0.26915197241990096,False,,0.8832028909792023,0.9453125
distance,8,10.777680427072006,8.917918416915954,-1.8597620101560528,-2.9070463430319666,-0.32934537712152545,0.7515298907002698,12.0,0.4609375,-0.11644117475753572,False,,0.8832028909792023,0.9453125
dt,8,0.0847811783715125,0.08356813977692629,-0.0012130385945862063,-0.01925407581643798,-0.03097105783703706,0.9761571711470642,15.0,0.7421875,-0.010949922508544836,False,,0.9761571711470642,0.9453125
dx,8,0.10696944366409761,-0.20136907624948724,-0.3083385199135848,-0.30217083941164946,-2.4301007684434803,0.04541382756720737,5.0,0.078125,-0.8591703661665124,False,,0.86286272377694,0.9453125
dy,8,0.011991613594936022,-0.1698543048133606,-0.18184591840829661,-0.007829848583530821,-0.7900697665236943,0.45541348870718995,16.0,0.84375,-0.2793318447596883,False,,0.8832028909792023,0.9453125
missing_session,8,1.0,1.0,0.0,0.0,,,,,,False,Todas as diferencas pareadas sao zero.,,
new_block,8,0.0004265570149483655,0.0002481781707284905,-0.00017837884421987506,-0.0003994942223109298,-0.5392075592928834,0.6064600246864111,11.0,0.3828125,-0.19063866082152264,False,,0.8832028909792023,0.9453125
prev_valid_session,0,,,,,,,,,,False,Pares insuficientes; minimo de 2.,,
session_block,8,28.625,28.625,0.0,0.0,,,,,,False,Todas as diferencas pareadas sao zero.,,
speed,8,708.4172235175567,444.2421193243947,-264.175104193162,-232.17164359113846,-1.0098617852397804,0.34618747722653026,11.0,0.3828125,-0.3570400582021008,False,,0.8832028909792023,0.9453125
speed_prev,8,708.4515620815104,444.4577341587129,-263.99382792279744,-231.3882092590905,-1.0088564166223968,0.346637008373851,11.0,0.3828125,-0.3566846067186287,False,,0.8832028909792023,0.9453125
time_gap,8,1.6258202597234384,0.1280406909620588,-1.4977795687613795,-0.04863545939430967,-1.0064857510772034,0.34769880792075497,13.0,0.546875,-0.355846449877163,False,,0.8832028909792023,0.9453125
timestamp,8,1786747982591.3926,1786747947853.206,-34738.18670654297,-8080.8680419921875,-0.4372987926320677,0.6750684263489587,17.0,0.9453125,-0.15460847083741244,False,,0.8832028909792023,0.9453125
x,8,391.77721851845513,409.47081833034633,17.693599811891144,40.06162094009869,0.3562488640983906,0.7321497372208938,15.0,0.7421875,0.1259529937969884,False,,0.8832028909792023,0.9453125
y,8,474.4541402167969,491.0453216243235,16.59118140752655,16.818832070250863,0.8582029227882322,0.4191927295069524,13.0,0.546875,0.303420553168837,False,,0.8832028909792023,0.9453125
